Metric,Season,Player,FG%,3P%,FT%,PTS_per_MIN,Overall_Shooting%,BLK_per_GP,STL_per_GP
FG%,2014 - 2015,Ed Davis,0.6012793,0.0,0.48677248,0.35652173,0.56838906,1.2405063,0.62025315
FG%,2009 - 2010,Kendrick Perkins,0.6015326,0.0,0.58214283,0.36730903,0.5925466,1.6923077,0.33333334
FG%,1999 - 2000,Bo Outlaw,0.6017699,0.0,0.50617284,0.21066208,0.5674603,1.804878,1.3780488
FG%,2006 - 2007,Dwight Howard,0.60252005,0.5,0.5855856,0.47726145,0.59506816,1.902439,0.85365856
FG%,2008 - 2009,Solomon Jones,0.6036036,0.5,0.7162162,0.278436,0.64705884,0.53968257,0.11111111
FG%,2008 - 2009,Maybyner Nene,0.60366714,0.2,0.72282606,0.44733906,0.64232904,1.3116883,1.2337662
FG%,2012 - 2013,Hasheem Thabeet,0.6037736,0.0,0.6037736,0.2078192,0.6037736,0.90909094,0.45454547
FG%,2014 - 2015,Rudy Gobert,0.60421544,0.0,0.62271065,0.31782803,0.6096866,2.304878,0.7804878
FG%,2009 - 2010,DeAndre Jordan,0.60504204,0.0,0.375,0.29543656,0.5217391,0.8857143,0.22857143
FG%,2015 - 2016,Hassan Whiteside,0.60557187,0.0,0.65045595,0.4893427,0.62017804,3.6849315,0.60273975
FG%,2017 - 2018,Deyonta Davis,0.60754716,0.0,0.6666667,0.38192233,0.6180124,0.62903225,0.24193548
FG%,2007 - 2008,Fabricio Oberto,0.6081081,0.0,0.60655737,0.24152826,0.60614526,0.24390244,0.4512195
FG%,2018 - 2019,Richaun Holmes,0.6082192,0.0,0.73142856,0.48323056,0.6481481,1.1285714,0.6
FG%,2006 - 2007,Mikki Moore,0.6086956,0.0,0.68085104,0.37279016,0.63072777,0.75949365,0.5822785
FG%,2008 - 2009,Shaquille O'Neal,0.60879904,0.0,0.5953757,0.591892,0.6032329,1.44,0.6533333
FG%,2013 - 2014,Bismack Biyombo,0.6111111,0.0,0.5168539,0.20699301,0.5751073,1.1168832,0.09090909
FG%,2015 - 2016,Ed Davis,0.611276,0.0,0.5588235,0.31231445,0.59149724,0.8888889,0.7037037
FG%,2019 - 2020,Ivica Zubac,0.61139894,0.0,0.74698794,0.4494382,0.6498195,0.9166667,0.22222222
FG%,2009 - 2010,Dwight Howard,0.6115108,0.0,0.5919118,0.5287041,0.5992758,2.7804878,0.91463417
FG%,2015 - 2016,Steven Adams,0.6126761,0.0,0.5816327,0.31572676,0.6028939,1.1125,0.525
FG%,2004 - 2005,Steven Hunter,0.6136364,0.0,0.4785276,0.332696,0.5546875,1.3421053,0.05263158
FG%,2000 - 2001,Bo Outlaw,0.61413044,0.5,0.5733333,0.2296764,0.59831935,1.7125,1.3125
FG%,2019 - 2020,Mason Plumlee,0.6145833,0.0,0.5354839,0.41335604,0.58035713,0.6229508,0.5409836
FG%,2010 - 2011,Maybyner Nene,0.6146789,0.2,0.71144277,0.47625282,0.64938736,0.97333336,1.12
FG%,2018 - 2019,Montrezl Harrell,0.6148649,0.1764706,0.6425121,0.6306181,0.6178923,1.3414634,0.86585367
FG%,2007 - 2008,Kendrick Perkins,0.61494255,0.0,0.6229508,0.2834728,0.6165413,1.4615384,0.3974359
FG%,2018 - 2019,Boban Marjanovic,0.61538464,0.4,0.7480916,0.61995006,0.65336657,0.46551725,0.27586207
FG%,2018 - 2019,Thomas Bryant,0.6155378,0.33333334,0.7810219,0.5065829,0.60840106,0.9305556,0.3472222
FG%,2018 - 2019,Ed Davis,0.615894,0.0,0.61728394,0.32639512,0.6137339,0.4074074,0.43209878
FG%,2018 - 2019,Tyson Chandler,0.61616164,0.0,0.5862069,0.19773689,0.5989305,0.4181818,0.38181818
FG%,2019 - 2020,Derrick Favors,0.61651915,0.14285715,0.5633803,0.3694165,0.5995204,0.9019608,0.5882353
FG%,2016 - 2017,Maybyner Nene,0.6171285,0.33333334,0.5888325,0.50843215,0.6036484,0.58208954,0.8358209
FG%,2019 - 2020,Brandon Clarke,0.6179541,0.359375,0.7589286,0.53846157,0.6167939,0.82758623,0.55172414
FG%,2011 - 2012,Tiago Splitter,0.6180758,0.0,0.6906077,0.4898287,0.64312977,0.7966102,0.3559322
FG%,2018 - 2019,Cheick Diallo,0.6199262,0.25,0.74626863,0.43211254,0.6403509,0.515625,0.453125
FG%,2015 - 2016,Dwight Howard,0.62,0.0,0.48945147,0.4281265,0.55925924,1.5915493,0.97183096
FG%,2012 - 2013,Greg Smith,0.620438,0.0,0.6230769,0.3791768,0.61975306,0.5714286,0.25714287
FG%,2017 - 2018,JaVale McGee,0.6210046,0.0,0.7307692,0.5039012,0.62815887,0.8769231,0.32307693
FG%,2019 - 2020,Hassan Whiteside,0.6210826,0.5714286,0.68619245,0.51785094,0.6371308,2.925373,0.3880597
FG%,2016 - 2017,Dewayne Dedmon,0.6216216,0.0,0.6989247,0.2910431,0.64204544,0.80263156,0.4868421
FG%,2017 - 2018,Rudy Gobert,0.6216216,0.0,0.6822742,0.41627663,0.6460296,2.3035715,0.78571427
FG%,2009 - 2010,Amir Johnson,0.6227545,0.0,0.6375839,0.3517588,0.6221766,0.80487806,0.5365854
FG%,2013 - 2014,Andre Drummond,0.62288684,0.0,0.41768292,0.41808254,0.56050956,1.6172839,1.2469136
FG%,2007 - 2008,Tyson Chandler,0.6231405,0.0,0.59322035,0.33383644,0.6126526,1.0632912,0.56962025
FG%,2006 - 2007,Tyson Chandler,0.62393165,0.0,0.5273632,0.2732457,0.59402984,1.7671233,0.5068493
FG%,2018 - 2019,JaVale McGee,0.624025,0.083333336,0.6315789,0.5368686,0.6173913,1.9733334,0.62666667
FG%,2019 - 2020,Jakob Poeltl,0.62406015,0.0,0.4651163,0.3176772,0.58522725,1.439394,0.56060606
FG%,2008 - 2009,Joel Przybilla,0.6245353,0.0,0.6627219,0.22950819,0.6378132,1.1829268,0.41463414
FG%,2018 - 2019,Kevon Looney,0.62536025,0.1,0.61904764,0.33751857,0.61255413,0.6625,0.575
FG%,2006 - 2007,Erick Dampier,0.6257485,0.0,0.6230366,0.28041774,0.6247619,1.0789474,0.31578946
FG%,2007 - 2008,Andris Biedrins,0.626151,0.0,0.62032086,0.38300535,0.6246575,1.2368422,0.7368421
FG%,2017 - 2018,Jordan Bell,0.62702703,0.0,0.6818182,0.32389665,0.62660944,0.98245615,0.61403507
FG%,2015 - 2016,Andrew Bogut,0.6272401,1.0,0.48,0.25838903,0.6060606,1.6285714,0.45714286
FG%,2019 - 2020,Clint Capela,0.62886596,0.0,0.52884614,0.42445087,0.6077236,1.8461539,0.84615386
FG%,2017 - 2018,Steven Adams,0.6292135,0.0,0.55944055,0.42460796,0.608,1.0263158,1.2105263
FG%,2011 - 2012,DeAndre Jordan,0.63190186,0.0,0.5248227,0.27031538,0.5982906,2.030303,0.45454547
FG%,2016 - 2017,Dwight Howard,0.6329527,0.0,0.5330189,0.4557031,0.5909528,1.2432432,0.8648649
FG%,2017 - 2018,Montrezl Harrell,0.63503647,0.14285715,0.6261261,0.6465584,0.62805665,0.68421054,0.47368422
FG%,2019 - 2020,JaVale McGee,0.6372549,0.5,0.64634144,0.39465535,0.6370558,1.382353,0.5294118
FG%,2012 - 2013,Tyson Chandler,0.6375,0.0,0.6937984,0.31846544,0.65957445,1.1363636,0.6363636
FG%,2019 - 2020,Dwight Powell,0.6375546,0.25641027,0.6666667,0.3545163,0.60686016,0.525,0.875
FG%,2018 - 2019,DeAndre Jordan,0.6412556,0.0,0.70454544,0.37024373,0.6647887,1.057971,0.6086956
FG%,2014 - 2015,Brandan Wright,0.6418733,0.0,0.6964286,0.375535,0.6506276,1.2533333,0.6666667
FG%,2016 - 2017,Salah Mejri,0.6423358,0.33333334,0.59016395,0.23533311,0.62189054,0.8356164,0.43835616
FG%,2017 - 2018,Salah Mejri,0.6423358,0.0,0.57575756,0.29359308,0.61165047,1.0983607,0.36065573
FG%,2007 - 2008,Erick Dampier,0.6425993,0.0,0.5753425,0.25071225,0.61938536,1.4722222,0.33333334
FG%,2016 - 2017,Clint Capela,0.64298403,0.0,0.53107345,0.5272997,0.61621624,1.2153846,0.52307695
FG%,2012 - 2013,DeAndre Jordan,0.64344263,0.0,0.38554215,0.36025277,0.55630934,1.3658537,0.58536583
FG%,2013 - 2014,Chris Andersen,0.64363635,0.25,0.71005917,0.34169054,0.65789473,1.3472222,0.44444445
FG%,2018 - 2019,Jakob Poeltl,0.6448276,0.0,0.5326087,0.33239037,0.6178011,0.8831169,0.37662336
FG%,2017 - 2018,DeAndre Jordan,0.6453287,0.0,0.5801282,0.38247308,0.6224719,0.9220779,0.5064935
FG%,2018 - 2019,Clint Capela,0.647541,0.0,0.6360153,0.4953753,0.6445116,1.5223881,0.6567164
FG%,2019 - 2020,Jarrett Allen,0.64946234,0.0,0.6333333,0.4184665,0.6383266,1.3142858,0.5714286
FG%,2008 - 2009,Erick Dampier,0.65,0.0,0.63829786,0.2472767,0.64608073,1.1875,0.3
FG%,2016 - 2017,JaVale McGee,0.6520376,0.0,0.5045045,0.63861454,0.6096998,0.8701299,0.24675325
FG%,2016 - 2017,Montrezl Harrell,0.65217394,0.14285715,0.6280992,0.49548703,0.6384778,0.7241379,0.3448276
FG%,2017 - 2018,Clint Capela,0.6523669,0.0,0.56031126,0.50437516,0.6263383,1.8648648,0.7837838
FG%,2010 - 2011,Tyson Chandler,0.65356266,0.0,0.73220336,0.36337137,0.6866097,1.081081,0.4864865
FG%,2017 - 2018,Jakob Poeltl,0.6588542,0.5,0.5940594,0.37216935,0.6447639,1.2195122,0.47560975
FG%,2013 - 2014,Mason Plumlee,0.6589404,0.0,0.62564105,0.40790713,0.642,0.78571427,0.7
